fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2022-12-31,USD,10435000000,2430000000,None,213000000,468000000,4802000000,1346000000,539000000,-71000000,1639000000,-4202000000,-4958000000,217000000,None,None,None,5948000000,5948000000,None,None,7804000000,None,-407000000,None,None,None,1639000000
2021-12-31,USD,12796000000,2655000000,None,85000000,-1510000000,6417000000,2062000000,-1372000000,-138000000,5743000000,-5975000000,-13354000000,-40000000,None,None,None,5869000000,5869000000,None,None,522000000,None,-319000000,None,-6533000000,None,5743000000
2020-12-31,USD,18197000000,3406000000,None,138000000,-5088000000,6695000000,2618000000,-5297000000,209000000,5590000000,-3028000000,-9721000000,-853000000,None,None,None,5797000000,5797000000,None,None,10504000000,None,-210000000,None,5448000000,None,5590000000
2019-12-31,USD,14770000000,3234000000,None,-503000000,-569000000,6059000000,2286000000,-502000000,-67000000,9431000000,-26936000000,9042000000,-2597000000,1361000000,1361000000,None,5707000000,5707000000,None,None,31825000000,None,-1361000000,None,-3124000000,None,9431000000
2018-12-31,USD,15247000000,1423000000,None,126000000,-879000000,4480000000,3395000000,-1006000000,127000000,8728000000,-4913000000,-10469000000,1341000000,4443000000,4443000000,None,5666000000,5666000000,None,None,6891000000,None,-4443000000,None,-135000000,None,8728000000
